STT,Từ vựng,Nghĩa
129,掘る (ほる),"đào, khai quật, ngoáy mũi"
130,まく,"rắc, rải, gieo"
131,計る (はかる),"đếm thời gian, đo đạc"
132,占う (うらなう),"dự đoán, bói"
133,引っ張る (ひっぱる),"kéo, lôi kéo, gây trở ngại"
134,突く (つく),"chọc, đâm, chống ( cằm, tay...)"
135,突き当たる (つきあたる),"cuối đường, đối mặt với"
136,立ち止まる (たちどまる),dừng lại
137,近寄る (ちかよる),"tiếp cận, tới gần"
138,横切る (よこぎる),"xuyên qua, băng ngang qua"
139,転ぶ (ころぶ),ngã
140,つまずく,"vấp, sẩy chân, vướng"
141,ひく,"chèn, cán qua, tông phải"
142,おぼれる,"chìm, đắm, chết đuổi"
143,痛む (いたむ),đau
144,かかる,"mắc bệnh, lây bệnh"
145,酔う (よう),say
146,吐く (はく),"nôn, ói"
147,診る (みる),"chuẩn đoán, khám"
148,見舞う (みまう),"đi thăm bệnh, hứng chịu, ập đến"
149,勤める (つとめる),làm việc
150,稼ぐ (かせぐ),"kiếm tiền, câu giờ"
151,支払う (しはらう),"trả tiền, thanh toán"
152,受け取る (うけとる),nhận
153,払い込む (はらいこむ),"đóng, nộp, thanh toán"
154,払い戻す (はらいもどす),"trả lại, hoàn trả"
155,引き出す (ひきだす),"rút ra, tìm ra, kéo dài"
156,もうかる,"có lợi nhuận, sinh lời"
157,もうける,"kiếm lợi, có con"
158,落ち込む (おちこむ),"thất vọng, suy sụp"
159,売れる (うれる),bán chạy
160,売り切れる (うりきれる),bán sạch
161,くっ付く (くっつく),"bám chặt, dính chặt, quân quýt"
162,くっ付ける (くっつける),"dính vào, gắn lại"
163,固まる (かたまる),"cứng lại, nắm vững, đông lai"
164,固める (かためる),"làm đông cứng, củng cố"
165,縮む (ちぢむ),"ngắn lại, co lại"
166,縮まる (ちぢまる),"rút ngắn, giảm bớt, thu gọn"
167,縮める (ちぢめる),"thu gọn, nén lại, rút ngắn"
168,沈む (しずむ),"chìm, lặn, bị nhấn xuống"
169,沈める (しずめる),"chìm, lặn"
170,下がる (さがる),"hạ xuống, lùi về, giảm"
171,下げる (さげる),"giảm đi, cúi đầu, thu dọn bát đĩa"
172,転がる (ころがる),"(tự) lăn, bị đổ ngã, nằm xuống, rải rác bừa bộn..."
173,転がす (ころがす),"dắt, lắc, lăn"
174,傾く (かたむく),"nghiêng, ngả, hướng về, đổ"
175,傾ける (かたむける),"nghiêng, làn suy yếu, phê bình, chê bai..."
176,裏返す (うらがえす),"lật úp, lộn ngược"
177,散らかる (ちらかる),"bừa bộn, lôi thôi"
178,散らかす (ちらかす),"vứt lung tung, bừa bãi"
179,散らばる (ちらばる),"văng tứ tung, rải rác"
180,刻む (きざむ),"cắt, chạm khắc, ghi lại"
181,挟まる (はさまる),bị kẹp
182,挟む (はさむ),"kẹp, nói chen vào"
183,つぶれる,"sụp đổ, xẹp lép, phá sản"
184,つぶす,hạ
185,へこむ,"lõm, chán nản"
186,ほどける,"cởi ra, giải quyết"
187,ほどく,cởi
188,枯れる (かれる),"bị héo, cạn khô, khàn giọng"
189,枯らす (からす),làm cho héo
190,傷む (いたむ),"hông, ôi thiu, tổn thương"
191,湿る (しめる),"bị ẩm, iu ( đồ ăn )"
192,凍る (こおる),"đông băng, lạnh cóng"
193,震える (ふるえる),run rẩy
194,輝く (かがやく),"tỏa sáng, huy hoàng"
195,あふれる,"tràn, đầy, giàn giụa"
196,余る (あまる),"còn sót lại, dư thừa"
197,目立つ (めだつ),"nổi bật, đập vào mắt"
198,見下ろす (みおろす),"nhìn xuống, coi khinh"
199,戦う/闘う (たたかう),"đánh nhau, tranh chấp"
200,敗れる (やぶれる),"bị đánh bại, thua"
201,逃げる (にげる),"chạy trốn, tránh nạn"
202,逃がす (にがす),"để mất; phóng sinh, thả"
203,戻る (もどる),quay lại
204,戻す (もどす),để trả lại
205,はまる,"khớp, bị kẹt, nghiện, bị cuốn theo, khít, vừa"
206,はめる,"đeo ( nhẫn, găng tay)"
207,扱う (あつかう),"đối xử, xử lý, bán, sử dụng"
208,関わる (かかわる),"liên quan, dính dáng"
209,目指す (めざす),"hướng đến mục tiêu, nhắm đến"
210,立つ・発つ (たつ),"khởi hành, rời khỏi, xuất phát"
211,迎える (むかえる),đón
212,持てる (もてる),"thu hút, đào hoa, có duyên"
213,たとえる,"ví như, so với"
214,努める (つとめる),"nỗ lực, cố gắng"
